event_id,minute,second,team,player,x,y
9cb399b0-641e-4dd6-92dd-a15d21f27cf0,74,35,Croatia,Mario Mandžukić,91.0,46.0
8e311725-3067-4678-93e1-398faf7a3524,74,42,Croatia,Andrej Kramarić,93.0,19.0
43e2bfc8-91f1-446a-a82c-81d5f6d3262a,74,55,Croatia,Ivan Strinić,85.0,14.0
3c3ff5e1-33b9-4acb-b977-ab34de42e05a,74,57,Croatia,Marcelo Brozović,81.0,25.0
d772e230-271f-42ca-ae9e-9625dd99223b,75,40,France,Corentin Tolisso,83.0,28.0
ad2b38da-be95-46ac-9a7d-5b64582a5825,76,4,France,Lucas Hernández Pi,98.0,2.0
ea918082-7f99-410b-a9db-22b1104212bd,76,43,Croatia,Šime Vrsaljko,85.0,70.0
b2555611-a182-49b7-ae33-0cb9e7024020,76,55,Croatia,Ivan Strinić,103.0,5.0
b199546b-4139-41b7-b6a2-979f14b2cd62,77,5,Croatia,Šime Vrsaljko,114.0,72.0
52a4cc8c-f745-4933-b5c6-da618f3ba880,77,12,Croatia,Andrej Kramarić,111.0,22.0
15b92b32-f121-475e-bb29-8515eb5f9f6b,79,27,Croatia,Šime Vrsaljko,102.0,75.0
39efa041-285c-4e18-8ade-3b9e261b3cf5,79,34,Croatia,Andrej Kramarić,82.0,39.0
ffa6f694-0427-40b3-85d1-2c9c6e9b0c99,79,45,Croatia,Mario Mandžukić,81.0,26.0
e343bbcc-b4a1-47d7-ad2b-8b473c5d0b16,79,50,Croatia,Luka Modrić,90.0,44.0
d1ad728a-32a1-4851-95eb-6737419aa96a,79,52,Croatia,Ivan Perišić,96.0,49.0
f5edaba8-6a61-43b5-9f6b-05444fb409fb,79,56,Croatia,Šime Vrsaljko,103.0,68.0
321620d5-199c-42c0-94a3-c77ae4e6784c,79,59,Croatia,Luka Modrić,97.0,53.0
30ba71cc-c159-4975-83e4-c88babf7c7b5,81,17,Croatia,Šime Vrsaljko,85.0,63.0
cbb19bf7-ef5c-49a1-8694-e66010c4be30,81,37,Croatia,Andrej Kramarić,92.0,31.0
819ade1c-600d-4e4e-9f26-472b99610436,84,32,Croatia,Šime Vrsaljko,82.0,72.0
a08d44b9-8957-4999-8527-11d8a9a2301f,84,42,Croatia,Ivan Perišić,99.0,8.0
1d22542d-fd34-4561-b44b-d75cc227136a,84,49,Croatia,Dejan Lovren,82.0,32.0
dcb36bfc-f074-4c15-bf6f-d2dbc6c95c7f,84,50,Croatia,Ivan Rakitić,90.0,22.0
430c90a4-baf6-41ba-ac92-3b291cccec5e,84,54,Croatia,Šime Vrsaljko,84.0,47.0
4441c0f1-d844-44b3-8e81-77b02c149ad3,86,56,Croatia,Andrej Kramarić,82.0,55.0
8fb9a75e-2b35-4bde-a4df-440b359fc84c,87,47,Croatia,Marko Pjaca,88.0,62.0
0ee20d1a-907c-48fd-b89a-f9a81dea690e,88,0,Croatia,Domagoj Vida,91.0,5.0
74fbc237-62d3-427d-8e5b-03ac4c5c1a02,88,1,Croatia,Andrej Kramarić,92.0,16.0
651067b0-ed01-4cd5-a341-580c4029b4cf,88,5,Croatia,Domagoj Vida,107.0,13.0
c02133ed-3ae3-49f4-a7b1-fea03e5b78e3,88,7,Croatia,Andrej Kramarić,100.0,18.0
300ed9c1-6e72-42b1-9e70-059ffeba953e,88,50,France,Steven N''Kemboanza Mike Christopher Nzonzi,86.0,69.0
cfde6c7c-7460-4a55-a84e-baa3d14f933f,91,10,France,Kylian Mbappé Lottin,86.0,53.0
b2cd50de-517b-48f8-8586-6bf8cf7d9e66,93,8,Croatia,Andrej Kramarić,95.0,5.0
