index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,team_in_possession_id,attacking_side,team_in_possession_shortname,n_player_possessions_in_phase,team_possession_loss_in_phase,team_possession_lead_to_goal,team_possession_lead_to_shot,team_in_possession_phase_type,team_in_possession_phase_type_id,team_out_of_possession_phase_type,team_out_of_possession_phase_type_id,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,team_in_possession_width_start,team_in_possession_width_end,team_in_possession_length_start,team_in_possession_length_end,team_out_of_possession_width_start,team_out_of_possession_width_end,team_out_of_possession_length_start,team_out_of_possession_length_end,avg_width,avg_length
31,1874553,2868,2873,04:45.8,04:46.3,4,45,0.5,1,2,866,right_to_left,Adelaide United,1,False,False,False,create,1,medium_block,9,-19.99,21.83,1,wide_left,1,defensive_third,False,-19.47,22.34,1,wide_left,1,defensive_third,False,63.68,63.56,48.27,48.98,43.72,44.02,53.74,53.52,63.620000000000005,48.625
32,1874553,2873,2898,04:46.3,04:48.8,4,46,2.5,1,2,866,right_to_left,Adelaide United,1,True,False,False,direct,6,defending_direct,15,-18.99,22.46,1,wide_left,1,defensive_third,False,20.3,24.39,1,wide_left,3,attacking_third,False,63.48,55.79,49.16,59.07,43.99,40.34,53.45,52.8,59.635,54.114999999999995
33,1874553,2898,2955,04:48.8,04:54.5,4,48,5.7,1,1,1802,left_to_right,Brisbane FC,2,False,False,False,build_up,0,high_block,10,-21.54,-24.35,5,wide_right,1,defensive_third,False,-47.15,-2.9,3,center,1,defensive_third,False,40.17,45.23,52.84,48.53,55.45,38.19,59.61,79.91,42.7,50.685
34,1874553,2955,2982,04:54.5,04:57.2,4,54,2.7,1,1,1802,left_to_right,Brisbane FC,1,True,False,False,direct,6,defending_direct,15,-47.01,-2.49,3,center,1,defensive_third,False,-12.64,19.63,2,half_space_left,2,middle_third,False,45.39,41.36,48.22,44.22,38.05,38.49,79.93,71.55,43.375,46.22
35,1874553,2982,3018,04:57.2,05:00.8,4,57,3.6,1,2,866,right_to_left,Adelaide United,1,True,False,False,quick_break,3,defending_quick_break,12,12.01,-19.87,4,half_space_right,2,middle_third,False,31.09,-12.44,4,half_space_right,3,attacking_third,False,38.59,28.19,71.2,65.04,40.98,22.96,44.2,45.19,33.39,68.12
36,1874553,3018,3258,05:00.8,05:24.8,5,0,24.0,1,1,1802,left_to_right,Brisbane FC,4,False,True,True,create,1,medium_block,9,-32.54,12.21,2,half_space_left,1,defensive_third,False,20.24,31.79,1,wide_left,3,attacking_third,False,22.37,45.28,45.32,61.52,28.04,29.74,65.53,48.79,33.825,53.42
37,1874553,3258,3300,05:24.8,05:29.0,5,24,4.2,1,1,1802,left_to_right,Brisbane FC,3,False,True,True,finish,2,low_block,8,20.94,31.33,1,wide_left,3,attacking_third,False,51.35,-1.64,3,center,3,attacking_third,True,45.2,38.7,61.84,73.7,29.81,26.11,48.6,43.52,41.95,67.77000000000001
38,1874553,4116,4145,06:50.6,06:53.5,6,50,2.9,1,2,866,right_to_left,Adelaide United,2,False,False,False,create,1,medium_block,9,-13.02,-1.17,3,center,2,middle_third,False,-19.6,-7.2,3,center,1,defensive_third,False,55.56,54.84,30.03,38.5,42.33,42.66,43.15,51.94,55.2,34.265
39,1874553,4145,4179,06:53.5,06:56.9,6,53,3.4,1,2,866,right_to_left,Adelaide United,1,False,False,False,direct,6,defending_direct,15,-19.06,-7.41,3,center,1,defensive_third,False,32.32,-16.08,4,half_space_right,3,attacking_third,False,54.58,35.28,38.81,57.15,42.47,28.11,52.37,53.46,44.93,47.980000000000004
40,1874553,4179,4334,06:56.9,07:12.4,6,56,15.5,1,2,866,right_to_left,Adelaide United,4,True,False,False,finish,2,low_block,8,32.49,-15.97,4,half_space_right,3,attacking_third,False,51.73,-9.67,4,half_space_right,3,attacking_third,True,34.43,33.54,57.71,74.32,27.99,32.78,53.41,32.74,33.985,66.015
41,1874553,4334,4434,07:12.4,07:22.4,7,12,10.0,1,1,1802,left_to_right,Brisbane FC,1,False,False,False,build_up,0,high_block,10,-52.14,9.73,2,half_space_left,1,defensive_third,False,-21.11,15.84,2,half_space_left,1,defensive_third,False,32.62,61.58,32.96,41.22,33.39,41.78,74.86,63.96,47.099999999999994,37.09
42,1874553,4434,4455,07:22.4,07:24.5,7,22,2.1,1,1,1802,left_to_right,Brisbane FC,1,True,False,False,create,1,medium_block,9,-19.83,16.6,2,half_space_left,1,defensive_third,False,-16.86,22.37,1,wide_left,2,middle_third,False,61.44,57.96,41.65,46.78,41.74,42.31,63.84,61.5,59.7,44.215
43,1874553,4455,4484,07:24.5,07:27.4,7,24,2.9,1,2,866,right_to_left,Adelaide United,1,False,False,False,finish,2,low_block,8,16.72,-22.87,5,wide_right,2,middle_third,False,9.17,-13.09,4,half_space_right,2,middle_third,False,42.37,45.37,61.42,59.74,57.64,44.21,46.84,43.09,43.87,60.58
44,1874553,4484,4525,07:27.4,07:31.5,7,27,4.1,1,2,866,right_to_left,Adelaide United,1,False,False,False,create,1,medium_block,9,9.39,-11.8,4,half_space_right,2,middle_third,False,8.05,8.22,3,center,2,middle_third,False,45.45,46.87,59.65,58.71,43.85,36.02,42.74,33.57,46.16,59.18
45,1874553,4525,4563,07:31.5,07:35.3,7,31,3.8,1,2,866,right_to_left,Adelaide United,1,False,False,False,finish,2,low_block,8,7.87,8.7,3,center,2,middle_third,False,6.55,11.33,2,half_space_left,2,middle_third,False,47.13,55.32,58.84,60.26,36.1,40.52,33.65,34.2,51.225,59.55
46,1874553,4563,4635,07:35.3,07:42.5,7,35,7.2,1,2,866,right_to_left,Adelaide United,2,False,False,False,create,1,medium_block,9,5.7,10.57,2,half_space_left,2,middle_third,False,4.89,-14.61,4,half_space_right,2,middle_third,False,55.49,59.35,60.25,56.53,40.51,35.15,34.41,38.79,57.42,58.39
47,1874553,4635,4712,07:42.5,07:50.2,7,42,7.7,1,2,866,right_to_left,Adelaide United,3,False,False,False,finish,2,low_block,8,5.12,-14.84,4,half_space_right,2,middle_third,False,5.78,-21.69,5,wide_right,2,middle_third,False,59.26,52.13,56.55,60.54,35.14,37.89,38.82,37.34,55.695,58.545
48,1874553,4712,4786,07:50.2,07:57.6,7,50,7.4,1,2,866,right_to_left,Adelaide United,2,True,False,False,create,1,medium_block,9,5.0,-20.27,5,wide_right,2,middle_third,False,18.76,-5.64,3,center,3,attacking_third,False,52.17,56.11,60.49,53.18,37.89,32.47,37.6,42.2,54.14,56.835
49,1874553,4786,4909,07:57.6,08:09.9,7,57,12.3,1,1,1802,left_to_right,Brisbane FC,4,False,False,False,transition,4,defending_transition,11,-19.79,4.91,3,center,1,defensive_third,False,12.12,-29.91,5,wide_right,2,middle_third,False,32.12,49.69,41.94,61.44,55.87,37.18,53.28,39.45,40.905,51.69
50,1874553,4909,4936,08:09.9,08:12.6,8,9,2.7,1,1,1802,left_to_right,Brisbane FC,2,False,False,False,finish,2,low_block,8,11.76,-30.14,5,wide_right,2,middle_third,False,5.14,-20.38,5,wide_right,2,middle_third,False,49.84,52.72,61.4,59.35,37.19,35.35,39.31,39.1,51.28,60.375
51,1874553,4936,4961,08:12.6,08:15.1,8,12,2.5,1,1,1802,left_to_right,Brisbane FC,1,True,False,False,create,1,medium_block,9,4.82,-20.29,5,wide_right,2,middle_third,False,4.68,-18.97,4,half_space_right,2,middle_third,False,52.85,55.88,59.25,55.43,35.26,33.27,39.32,40.96,54.365,57.34
52,1874553,4961,5010,08:15.1,08:20.0,8,15,4.9,1,2,866,right_to_left,Adelaide United,2,True,False,False,create,1,medium_block,9,-4.68,19.05,2,half_space_left,2,middle_third,False,-4.27,27.02,1,wide_left,2,middle_third,False,33.35,41.15,40.89,50.53,55.84,44.28,55.36,50.32,37.25,45.71
53,1874553,5010,5083,08:20.0,08:27.3,8,20,7.3,1,1,1802,left_to_right,Brisbane FC,2,False,False,False,create,1,medium_block,9,4.96,-26.68,5,wide_right,2,middle_third,False,21.89,-29.93,5,wide_right,3,attacking_third,False,44.13,37.94,50.13,58.08,41.18,45.06,50.79,49.01,41.035,54.105000000000004
54,1874553,5083,5086,08:27.3,08:27.6,8,27,0.3,1,1,1802,left_to_right,Brisbane FC,1,True,False,False,finish,2,low_block,8,21.86,-29.77,5,wide_right,3,attacking_third,False,21.77,-29.51,5,wide_right,3,attacking_third,False,37.89,37.75,58.42,59.02,44.99,44.83,48.86,48.6,37.82,58.72
55,1874553,5086,5300,08:27.6,08:49.0,8,27,21.4,1,2,866,right_to_left,Adelaide United,7,True,False,False,create,1,medium_block,9,-21.71,29.37,1,wide_left,1,defensive_third,False,6.64,1.87,3,center,2,middle_third,False,44.75,59.18,48.5,54.69,37.67,35.35,59.27,43.42,51.965,51.595
